#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_4043,Bacteria, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, 
OTU_2856,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae,,
OTU_1905,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, , 
OTU_2517,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_1083,Bacteria, Proteobacteria, Alphaproteobacteria, Ellin329, , , 
OTU_1411,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Uliginosibacterium, 
OTU_3184,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, 
OTU_3715,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], , 
OTU_3874,Bacteria, Planctomycetes, Planctomycetia, B97, , , 
OTU_3383,Bacteria, TM6, SJA-4, , , , 
OTU_3901,Bacteria, Chloroflexi, Chloroflexi, [Roseiflexales], , , 
OTU_1978,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, , , 
OTU_1556,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Paucimonas, lemoignei
OTU_2812,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_1574,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
OTU_1478,Bacteria, Proteobacteria, Alphaproteobacteria, Ellin329, , , 
OTU_668,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, , 
OTU_1809,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Parachlamydiaceae, Candidatus Protochlamydia, 
OTU_2697,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], Candidatus Xiphinematobacter, 
OTU_018,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, 
OTU_344,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Dokdonella, 
OTU_2667,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Flavisolibacter, 
OTU_3492,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
OTU_1206,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Elbe, Iso18
OTU_345,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas,
OTU_1925,Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Bulleidia, moorei
OTU_1215,Bacteria, Verrucomicrobia, [Spartobacteria], [Chthoniobacterales], [Chthoniobacteraceae], DA101, 
OTU_4062,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_4037,Bacteria, Chlamydiae, Chlamydiia, Chlamydiales, Rhabdochlamydiaceae, Candidatus Rhabdochlamydia, 
OTU_941,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU_2559,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_1558,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, Salinibacterium, 
OTU_1797,Bacteria, Acidobacteria, PAUC37f, , , , 
OTU_3778,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales,,,
OTU_2944,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Gemmatimonadales, , , 
OTU_2400,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Sinobacteraceae, Steroidobacter, 
OTU_1345,Bacteria, Proteobacteria, Betaproteobacteria,,,,
OTU_2779,Bacteria, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, , 
OTU_2772,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,
OTU_1543,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae,,
